slot_id,category,visual_family,subject,composition,palette,query,status,notes
chart_16,carta_transitos,diagrama_orbital,eclipse abstracto,centered eclipse,"black, copper","minimal dark eclipse copper rim premium astrology",todo,""
chart_17,carta_transitos,textura_editorial,tarjeta negra vacia,flat lay,"black, bone","blank black editorial card on dark cloth subtle grain",todo,""
chart_18,carta_transitos,foto_atmosferica,ventana con lluvia,top text space,"blue, black","rain on window at night blue cinematic empty room",todo,""
chart_19,carta_transitos,diagrama_orbital,lineas de casas astrologicas,full frame,"black, bone, copper","abstract astrology houses geometry dark premium no labels",todo,""
chart_20,carta_transitos,foto_atmosferica,luz sobre cama vacia,soft center,"deep blue, black","empty bed moonlight grain introspective no person",todo,""
moon_01,luna_ritual,ritual_object,vela apagada y agua,flat lay,"black, copper","dark candle water bowl moon ritual editorial",todo,""
moon_02,luna_ritual,ritual_object,bowl con sal,top down,"black, bone","black bowl salt moon ritual minimal",todo,""
moon_03,luna_ritual,ritual_object,papel doblado y flor oscura,diagonal,"charcoal, burgundy","dark flower folded paper moon intention editorial",todo,""
moon_04,luna_ritual,foto_atmosferica,reflejo lunar en agua,full bleed,"blue, black","moon reflection dark water ritual calm",todo,""
moon_05,luna_ritual,ritual_object,mano escribiendo en papel negro,partial hand,"black, copper","hand writing on black paper candlelight editorial",todo,""
moon_06,luna_ritual,ritual_object,ramas secas y vela,side light,"black, brown, copper","dry branches candle dark moon ritual still life",todo,""
moon_07,luna_ritual,textura_editorial,calendario lunar abstracto,top down,"black, bone","abstract moon phase calendar dark editorial no text",todo,""
moon_08,luna_ritual,ritual_object,flores blancas en sombra,center,"black, bone","white flowers in dark shadow moon ritual editorial",todo,""
moon_09,luna_ritual,ritual_object,vaso de agua sobre mesa negra,center,"black, silver","glass of water on black table moonlight ritual",todo,""
moon_10,luna_ritual,foto_atmosferica,cortina con luz lunar,soft vertical,"blue, black","moonlight curtain dark blue calm empty space",todo,""
moon_11,luna_ritual,ritual_object,sahumo abstracto sin humo excesivo,diagonal,"charcoal, copper","subtle incense smoke dark editorial moon ritual",todo,""
moon_12,luna_ritual,textura_editorial,papel con circulo lunar,flat lay,"bone, black","textured paper moon circle minimal editorial",todo,""
moon_13,luna_ritual,ritual_object,flor roja oscura y agua,macro,"black, burgundy","dark red flower water drops moon ritual macro",todo,""
moon_14,luna_ritual,ritual_object,cristal oscuro sobrio,center small,"black, silver","dark crystal object minimal moon ritual editorial",todo,"Usar con cuidado para no caer generico"
moon_15,luna_ritual,foto_atmosferica,cielo antes de amanecer,full bleed,"blue, charcoal","pre dawn sky dark blue emotional astrology",todo,""
rel_01,vinculos_compatibilidad,foto_relacional,dos sombras separadas,wide negative space,"black, blue","two anonymous shadows on wall moonlight relationship editorial",todo,""
rel_02,vinculos_compatibilidad,diagrama_orbital,dos orbes orbitando,center,"black, copper","two celestial bodies orbiting dark romantic astrology",todo,""
rel_03,vinculos_compatibilidad,foto_relacional,dos manos casi tocandose,partial hands,"charcoal, bone","two hands almost touching dark editorial no faces",todo,""
rel_04,vinculos_compatibilidad,foto_atmosferica,dos reflejos en vidrio,vertical,"blue, black","two reflections in night window romantic astrology",todo,""
rel_05,vinculos_compatibilidad,textura_editorial,dos tarjetas negras,flat lay,"black, copper","two black cards connected by copper line editorial",todo,""
rel_06,vinculos_compatibilidad,foto_relacional,mesa con dos vasos,top down,"black, amber","two glasses dark table intimate editorial",todo,""
rel_07,vinculos_compatibilidad,diagrama_orbital,sinastria abstracta,full frame,"black, copper, bone","abstract synastry chart dark premium no labels",todo,""
rel_08,vinculos_compatibilidad,foto_atmosferica,dos luces en habitacion oscura,center lights,"blue, black","two small lights in dark room emotional relationship",todo,""
rel_09,vinculos_compatibilidad,foto_relacional,silueta doble desenfocada,blur,"black, blue","blurred double silhouette moonlight no face",todo,""
rel_10,vinculos_compatibilidad,textura_editorial,cinta o hilo entre puntos,diagonal,"black, copper","thin copper thread between two points dark editorial",todo,""
rel_11,vinculos_compatibilidad,foto_atmosferica,cielo con dos astros,full bleed,"black, blue, bone","night sky two moons stars relationship astrology",todo,""
rel_12,vinculos_compatibilidad,ritual_object,dos flores oscuras,center pair,"black, burgundy","two dark flowers editorial romantic astrology",todo,""
rel_13,vinculos_compatibilidad,diagrama_orbital,Venus y Marte abstractos,side by side,"black, copper","abstract venus mars symbols orbital dark premium no labels",todo,""
rel_14,vinculos_compatibilidad,foto_atmosferica,puerta entreabierta luz azul,center,"blue, black","half open door blue light emotional relationship",todo,""
rel_15,vinculos_compatibilidad,textura_editorial,dos circulos superpuestos,flat graphic,"black, copper","two overlapping circles dark editorial astrology compatibility",todo,""
journal_01,introspeccion_journal,textura_editorial,cuaderno y lapiz oscuro,flat lay,"black, bone","dark journal pencil moonlight editorial",todo,""
journal_02,introspeccion_journal,foto_atmosferica,silla vacia junto a ventana,side light,"blue, black","empty chair by window night introspective editorial",todo,""
journal_03,introspeccion_journal,textura_editorial,papel rasgado sobrio,top down,"charcoal, bone","torn paper dark editorial introspection",todo,""
journal_04,introspeccion_journal,foto_atmosferica,cafe oscuro y sombra,flat lay,"black, amber","dark coffee cup shadow editorial morning reflection",todo,""
journal_05,introspeccion_journal,diagrama_orbital,punto central y circulos,center graphic,"black, copper","center point concentric orbit dark minimal",todo,""
journal_06,introspeccion_journal,foto_atmosferica,mano apoyada en mesa,partial hand,"black, blue","anonymous hand on table blue night editorial",todo,""
journal_07,introspeccion_journal,textura_editorial,nota sin texto visible,flat lay,"bone, charcoal","blank note on dark paper editorial empty space",todo,""
journal_08,introspeccion_journal,foto_atmosferica,libro cerrado en sombra,center,"black, bone","closed book in shadow introspective editorial",todo,""
journal_09,introspeccion_journal,foto_atmosferica,pared con luz circular,center glow,"blue, black","circular moonlight on wall dark room grain",todo,""
journal_10,introspeccion_journal,textura_editorial,archivo de tarjetas oscuras,stack,"black, copper","stack of dark cards editorial archive astrology",todo,""
