asset_id,family,name,variant,format,priority_batch,usage,status,prompt
orbita_zodiac_virgo_editable_symbol,zodiac,Virgo,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Virgo, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_virgo_editorial_emblem_png,zodiac,Virgo,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Virgo as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_libra_editable_symbol,zodiac,Libra,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Libra, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_libra_editorial_emblem_png,zodiac,Libra,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Libra as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_escorpio_editable_symbol,zodiac,Escorpio,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Escorpio, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_escorpio_editorial_emblem_png,zodiac,Escorpio,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Escorpio as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_sagitario_editable_symbol,zodiac,Sagitario,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Sagitario, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_sagitario_editorial_emblem_png,zodiac,Sagitario,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Sagitario as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_capricornio_editable_symbol,zodiac,Capricornio,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Capricornio, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_capricornio_editorial_emblem_png,zodiac,Capricornio,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Capricornio as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_acuario_editable_symbol,zodiac,Acuario,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Acuario, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_acuario_editorial_emblem_png,zodiac,Acuario,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Acuario as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_zodiac_piscis_editable_symbol,zodiac,Piscis,editable_symbol,figma_vector,1,"sign glyph in chart rows, profile triad, tabs, compact labels",needed,"Create a clean editable vector-style glyph for Piscis, copper stroke on dark, simple enough at 24px, no text."
orbita_zodiac_piscis_editorial_emblem_png,zodiac,Piscis,editorial_emblem_png,png_square_2048,1,"hero tile, sign explanation, profile/carta modules",needed,"Square 1:1 2048x2048. Editorial emblem inspired by Piscis as an abstract orbital symbol, not literal clipart. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_sol_editable_symbol,natal_point,Sol,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Sol, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_sol_editorial_emblem_png,natal_point,Sol,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Sol, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_luna_editable_symbol,natal_point,Luna,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Luna, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_luna_editorial_emblem_png,natal_point,Luna,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Luna, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_ascendente_editable_symbol,natal_point,Ascendente,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Ascendente, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_ascendente_editorial_emblem_png,natal_point,Ascendente,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Ascendente, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_mercurio_editable_symbol,natal_point,Mercurio,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Mercurio, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_mercurio_editorial_emblem_png,natal_point,Mercurio,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Mercurio, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_venus_editable_symbol,natal_point,Venus,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Venus, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_venus_editorial_emblem_png,natal_point,Venus,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Venus, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_marte_editable_symbol,natal_point,Marte,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Marte, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_marte_editorial_emblem_png,natal_point,Marte,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Marte, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_jupiter_editable_symbol,natal_point,Júpiter,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Júpiter, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_jupiter_editorial_emblem_png,natal_point,Júpiter,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Júpiter, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_saturno_editable_symbol,natal_point,Saturno,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Saturno, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_saturno_editorial_emblem_png,natal_point,Saturno,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Saturno, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_urano_editable_symbol,natal_point,Urano,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Urano, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_urano_editorial_emblem_png,natal_point,Urano,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Urano, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_neptuno_editable_symbol,natal_point,Neptuno,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Neptuno, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_neptuno_editorial_emblem_png,natal_point,Neptuno,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Neptuno, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_pluton_editable_symbol,natal_point,Plutón,editable_symbol,figma_vector,1,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Plutón, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_pluton_editorial_emblem_png,natal_point,Plutón,editorial_emblem_png,png_square_2048,1,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Plutón, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_medio_cielo_editable_symbol,natal_point,Medio Cielo,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Medio Cielo, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_medio_cielo_editorial_emblem_png,natal_point,Medio Cielo,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Medio Cielo, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_nodo_norte_editable_symbol,natal_point,Nodo Norte,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Nodo Norte, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_nodo_norte_editorial_emblem_png,natal_point,Nodo Norte,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Nodo Norte, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_nodo_sur_editable_symbol,natal_point,Nodo Sur,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Nodo Sur, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_nodo_sur_editorial_emblem_png,natal_point,Nodo Sur,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Nodo Sur, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_quiron_editable_symbol,natal_point,Quirón,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Quirón, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_quiron_editorial_emblem_png,natal_point,Quirón,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Quirón, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_lilith_editable_symbol,natal_point,Lilith,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Lilith, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_lilith_editorial_emblem_png,natal_point,Lilith,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Lilith, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_natal_point_parte_de_fortuna_editable_symbol,natal_point,Parte de Fortuna,editable_symbol,figma_vector,2,"birth chart table, triad, placement rows",needed,"Create a clean editable vector-style astrological symbol for Parte de Fortuna, copper stroke, minimal, legible at 24px, no text."
orbita_natal_point_parte_de_fortuna_editorial_emblem_png,natal_point,Parte de Fortuna,editorial_emblem_png,png_square_2048,2,placement explanation cards and onboarding visuals,needed,"Square 1:1 2048x2048. Abstract editorial emblem for Parte de Fortuna, dark celestial object with copper orbital accents. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_house_casa_1_editable_marker,house,Casa 1,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 1, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_2_editable_marker,house,Casa 2,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 2, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_3_editable_marker,house,Casa 3,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 3, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_4_editable_marker,house,Casa 4,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 4, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_5_editable_marker,house,Casa 5,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 5, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_6_editable_marker,house,Casa 6,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 6, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_7_editable_marker,house,Casa 7,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 7, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_8_editable_marker,house,Casa 8,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 8, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_9_editable_marker,house,Casa 9,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 9, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_10_editable_marker,house,Casa 10,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 10, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_11_editable_marker,house,Casa 11,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 11, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_house_casa_12_editable_marker,house,Casa 12,editable_marker,figma_vector,2,chart wheel house labels and natal table,needed,"Create a minimal editable marker for astrological house 12, Roman numeral optional as editable Figma text only, copper stroke, no baked text."
orbita_chart_system_rueda_natal_vacia_editorial_png,chart_system,rueda natal vacía,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated rueda natal vacía for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_rueda_natal_con_posiciones_editorial_png,chart_system,rueda natal con posiciones,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated rueda natal con posiciones for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_overlay_de_transitos_editorial_png,chart_system,overlay de tránsitos,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated overlay de tránsitos for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_sinastria_vinculo_editorial_png,chart_system,sinastría vínculo,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated sinastría vínculo for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_progresos_editorial_png,chart_system,progresos,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated progresos for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_grilla_orbital_editorial_png,chart_system,grilla orbital,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated grilla orbital for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_chart_system_backplate_calculando_carta_editorial_png,chart_system,backplate calculando carta,editorial_png,png_square_2048,2,"Carta, Tránsitos, Vínculo and onboarding personalizing screens",needed,"Square 1:1 2048x2048. Sophisticated backplate calculando carta for a premium astrology UI, thin copper and bone-white geometry over charcoal, enough negative space for editable labels. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_aspect_conjuncion_editable_symbol,aspect,conjunción,editable_symbol,figma_vector,2,"transit rows, chart details, compatibility logic",needed,"Create a minimal editable vector symbol for astrological aspect conjunción, copper stroke, geometric, legible at 20px, no text."
orbita_aspect_conjuncion_diagram_png,aspect,conjunción,diagram_png,png_square_2048,2,educational cards and transit modules,needed,"Square 1:1 2048x2048. Abstract orbital diagram representing conjunción, refined copper geometry, dark background. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_aspect_oposicion_editable_symbol,aspect,oposición,editable_symbol,figma_vector,2,"transit rows, chart details, compatibility logic",needed,"Create a minimal editable vector symbol for astrological aspect oposición, copper stroke, geometric, legible at 20px, no text."
orbita_aspect_oposicion_diagram_png,aspect,oposición,diagram_png,png_square_2048,2,educational cards and transit modules,needed,"Square 1:1 2048x2048. Abstract orbital diagram representing oposición, refined copper geometry, dark background. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_aspect_trigono_editable_symbol,aspect,trígono,editable_symbol,figma_vector,2,"transit rows, chart details, compatibility logic",needed,"Create a minimal editable vector symbol for astrological aspect trígono, copper stroke, geometric, legible at 20px, no text."
orbita_aspect_trigono_diagram_png,aspect,trígono,diagram_png,png_square_2048,2,educational cards and transit modules,needed,"Square 1:1 2048x2048. Abstract orbital diagram representing trígono, refined copper geometry, dark background. Premium dark editorial astrology asset for Órbita. Deep black and charcoal background, subtle copper linework, soft cinematic glow, centered composition, refined orbital geometry, no text, no labels, no logos, no UI, no white border, no checkerboard, no phone mockup, no generic clipart."
orbita_aspect_cuadratura_editable_symbol,aspect,cuadratura,editable_symbol,figma_vector,2,"transit rows, chart details, compatibility logic",needed,"Create a minimal editable vector symbol for astrological aspect cuadratura, copper stroke, geometric, legible at 20px, no text."
